"title","author","genre","rating","img","numRater","type","price"
"American Gospel","Jon Meacham","History","4.3","https://images-na.ssl-images-amazon.com/images/I/51SDyTdlnyL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","220","Kindle Edition","2.99"
"The Roman Empire and the Silk Routes","Raoul McLaughlin","History","5.0","https://images-na.ssl-images-amazon.com/images/I/811vy8Lha1L.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","4","Kindle Edition","1.99"
"D DAY Through German Eyes - Book Two - More hidden stories from June 6th 1944 (D DAY - Through German Eyes)","Holger Eckhertz","History","4.6","https://images-na.ssl-images-amazon.com/images/I/81XuHXvjUFL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1298","Kindle Edition","2.99"
"Code Name","Larry Loftis","History","4.7","https://images-na.ssl-images-amazon.com/images/I/71X89nrP5rL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","41","Kindle Edition","12.99"
"City of Scoundrels","Gary Krist","History","4.2","https://images-na.ssl-images-amazon.com/images/I/91dTQ7bdJBL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","173","Kindle Edition","1.99"
"Astrophysics for People in a Hurry","Neil de Grasse Tyson","History","4.6","https://images-na.ssl-images-amazon.com/images/I/91ZCU63G3QL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","3789","Kindle Edition","9.99"
"The Day the World Came to Town","Jim DeFede","History","4.6","https://images-na.ssl-images-amazon.com/images/I/81uvHnZykAL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1310","Kindle Edition","10.99"
"Boomerang","Michael Lewis","History","4.3","https://images-na.ssl-images-amazon.com/images/I/9197P6Wt7qL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1195","Kindle Edition","9.99"
"I Heard You Paint Houses","Charles Brandt","History","4.6","https://images-na.ssl-images-amazon.com/images/I/91G6Y8cuijL._AC_UL200_SR200,200_.jpg","920","Paperback","11.55"
"Alexander Hamilton","Ron Chernow","History","4.7","https://images-na.ssl-images-amazon.com/images/I/91jNtY0YjyL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","4199","Kindle Edition","14.99"
"Five Presidents","Clint Hill","History","4.6","https://images-na.ssl-images-amazon.com/images/I/91s67JA5W2L._AC_UL200_SR200,200_.jpg","700","Audible Audiobook"," Free with Audible trial"
"The First Conspiracy","Brad Meltzer","History","4.1","https://images-na.ssl-images-amazon.com/images/I/81r6B3kLu-L.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","158","Kindle Edition","14.99"
"Homo Deus","Yuval Noah Harari","History","4.4","https://images-na.ssl-images-amazon.com/images/I/81mpU5GWymL._AC_UL200_SR200,200_.jpg","1360","Audible Audiobook"," Free with Audible trial"
"In the Closet of the Vatican","Frederic Martel","History","3.5","https://images-na.ssl-images-amazon.com/images/I/81JQ%2Bm9N6VL._AC_UL200_SR200,200_.jpg","27","Hardcover","18"
"Man's Search for Meaning","Viktor E. Frankl","History","4.7","https://images-na.ssl-images-amazon.com/images/I/71tdb1udZnL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","4525","Kindle Edition","9.99"
"The Negro Travelers' Green Book","Victor H. Green","History","4.5","https://images-na.ssl-images-amazon.com/images/I/51X9EKw6CwL._AC_UL200_SR200,200_.jpg","68","Paperback","8.09"
"Killers of the Flower Moon","David Grann","History","4.6","https://images-na.ssl-images-amazon.com/images/I/81%2BCedEfV1L.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","3903","Kindle Edition","11.99"
"21 Lessons for the 21st Century","Yuval Noah Harari","History","4.2","https://images-na.ssl-images-amazon.com/images/I/81o9vblSjmL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","343","Kindle Edition","13.99"
"Spearhead","Adam Makos","History","4.9","https://images-na.ssl-images-amazon.com/images/I/91o6z7hkXVL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","23","Kindle Edition","13.99"
"Say Nothing","Patrick Radden Keefe","History","4.6","https://images-na.ssl-images-amazon.com/images/I/91s5M5m-geL._AC_UL200_SR200,200_.jpg","6","Audible Audiobook"," Free with Audible trial"
"Girl, Wash Your Face","Rachel Hollis","Religion","4.7","https://images-na.ssl-images-amazon.com/images/I/919fxlpMkyL._AC_UL200_SR200,200_.jpg","9426","Audible Audiobook"," Free with Audible trial"
"Girl, Stop Apologizing","Rachel Hollis","Religion",NA,"https://images-na.ssl-images-amazon.com/images/I/91ILDdvFJ4L._AC_UL200_SR200,200_.jpg",NA,"Hardcover","14.99"
"Girl, Wash Your Face","Rachel Hollis","Religion","4.7","https://images-na.ssl-images-amazon.com/images/I/91ibhD5nhUL._AC_UL200_SR200,200_.jpg","9426","Hardcover","13.79"
"Girl, Stop Apologizing (Audible Exclusive Edition)","Rachel Hollis","Religion",NA,"https://images-na.ssl-images-amazon.com/images/I/91ypbCUbVEL._AC_UL200_SR200,200_.jpg",NA,"Audible Audiobook"," Free with Audible trial"
